rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
303463;3376.684303;710;176;17.4916;2;0;25;-1;-1;0;1;1;1;-1.57498;-0.941647;-2.13986;-1.57498;-0.941647;-2.13986;0;0;0;0;0;0;0;0;0.00543668;fp_not_a_fp;-1;0.242477;
303464;3376.695429;712;176;17.4581;0;0.1125;8;710;176;0;2;1;1;-1.58889;-0.943264;-2.14408;-1.58193;-0.942455;-2.14197;1;-0.159458;-0.0185301;-0.0484042;0;0;0;0;0;fp_not_a_fp;-1;0.242498;
303465;3376.706556;714;176;17.5129;4.47214;0.044466;21;712.254;176;0;3;1;1;-1.59478;-0.940125;-2.13749;-1.58621;-0.941679;-2.14048;1;-0.27251;0.0121528;0.0132613;0;-10.1606;2.75764;5.54221;0.0121419;fp_not_a_fp;-1;0.242489;
303466;3376.717683;714;176;17.5793;2;0.0416667;19;714.583;176;0;4;1;1;-1.58875;-0.936574;-2.12942;-1.58685;-0.940403;-2.13771;1;-0.215425;0.0639864;0.129599;0;-2.51527;3.7079;7.99861;0.00540943;fp_not_a_fp;-1;0.242473;
303467;3376.728810;716;178;17.4071;2;0.13698;5;714.647;176;0;5;1;1;-1.61562;-0.954818;-2.14467;-1.59701;-0.943695;-2.13891;1;-0.47234;-0.131894;-0.0136441;0;-9.37361;-3.39634;1.04106;0.00546309;fp_not_a_fp;-1;0.24246;
303468;3376.739936;718;176;17.8903;2.82843;0.121554;28;716.837;178.254;0;6;1;1;-1.5824;-0.919929;-2.09265;-1.59539;-0.937862;-2.12606;1;-0.137418;0.203937;0.525241;0;0.495093;4.99849;12.8889;0.0075172;fp_not_a_fp;-1;0.242485;
303469;3376.751064;720;178;18.1262;0;0.153107;4;719.098;176.075;0;7;1;1;-1.57251;-0.916577;-2.05982;-1.58982;-0.931975;-2.10664;1;0.131891;0.355133;1.05722;1;9.08579;7.70598;23.4554;0;fp_not_a_fp;-1;0.242498;
303470;3376.762190;722;178;18.1748;2.82843;0.0466058;36;721.431;178.287;0;8;1;1;-1.57877;-0.913947;-2.05443;-1.58732;-0.926318;-2.08789;1;0.154602;0.402472;1.20399;1;8.31358;7.60509;24.1392;0.00739964;fp_not_a_fp;-1;0.242479;
303471;3376.773317;722;178;17.9846;2;0.0416667;23;723.638;178.332;0;9;1;1;-1.59546;-0.923609;-2.07615;-1.58228;-0.918515;-2.07076;1;-0.0470676;0.259934;0.862084;1;9.55476;8.80356;19.6754;0.00528769;fp_not_a_fp;-1;0.242496;
303472;3376.784444;724;180;17.7043;2;0.109623;14;723.458;178.271;0;10;1;1;-1.63168;-0.94706;-2.1033;-1.5946;-0.925298;-2.07343;1;-0.539619;-0.10094;0.299605;1;-9.03665;-6.84991;-5.06988;0.00537134;fp_not_a_fp;-1;0.242532;
303473;3376.795571;726;178;18.2637;2.82843;0.118596;30;725.436;180.528;0;11;1;1;-1.5919;-0.909135;-2.04466;-1.59945;-0.923438;-2.06964;1;-0.218316;0.197555;0.701212;1;-7.86788;-3.53997;-7.99824;0.00736357;fp_not_a_fp;-1;0.242501;
303474;3376.806697;728;180;18.3712;2;0.0718946;5;727.555;178.258;0;12;1;1;-1.59315;-0.912323;-2.02718;-1.60305;-0.923032;-2.06282;1;-0.0720099;0.259171;0.978084;1;-5.09093;-3.2192;-5.075;0.00517639;fp_not_a_fp;-1;0.242536;
303475;3376.817825;730;180;18.4741;2.82843;0.0458134;44;729.66;180.405;0;13;1;1;-1.59457;-0.907065;-2.01601;-1.60282;-0.918896;-2.04779;1;-0.0186473;0.311852;1.09583;1;0.639347;1.16711;5.2528;0.00727975;fp_not_a_fp;-1;0.242513;
303476;3376.828951;732;180;18.3686;2;0.0249068;11;731.794;180.413;0;14;1;1;-1.61408;-0.912095;-2.0277;-1.59842;-0.910154;-2.02889;1;-0.217858;0.236185;0.870678;1;7.22942;7.57468;12.831;0.00517704;fp_not_a_fp;-1;0.242464;
303477;3376.840078;734;182;18.8096;2.82843;0.0980318;23;733.868;180.328;0;15;1;1;-1.58655;-0.899019;-1.97478;-1.59709;-0.907625;-2.01142;1;0.0431435;0.324684;1.27329;1;5.87451;2.85631;12.8536;0.0071499;fp_not_a_fp;-1;0.242531;
303478;3376.851206;734;182;18.7313;2.82843;0.030451;30;735.969;182.594;0;16;1;1;-1.59319;-0.902778;-1.98303;-1.5971;-0.905239;-2.00038;1;0.06946;0.276754;1.18262;1;3.1785;0.395076;4.59567;0.00717971;fp_not_a_fp;-1;0.24253;
303479;3376.862332;738;184;19.2451;0;0.189221;4;735.694;182.584;0;17;1;1;-1.57062;-0.886627;-1.92494;-1.59111;-0.90013;-1.97761;1;0.330186;0.406793;1.66025;1;7.83769;2.13326;12.6817;0;fp_not_a_fp;-1;0.242498;
303480;3376.873459;738;184;18.9942;2;0.0127078;46;739.99;184.829;0;18;1;1;-1.59136;-0.898338;-1.95037;-1.58543;-0.89669;-1.95828;1;0.158011;0.274402;1.35441;1;8.44523;0.858817;10.8691;0.0050066;fp_not_a_fp;-1;0.242526;
303481;3376.884587;740;184;18.9894;2;0.0377277;15;739.767;184.801;0;19;1;1;-1.60178;-0.898393;-1.95097;-1.58924;-0.896534;-1.95233;1;-0.0527047;0.18406;1.04831;1;-2.1532;-3.15933;-5.05426;0.00500785;fp_not_a_fp;-1;0.242495;
303482;3376.895714;742;184;19.0791;2.82843;0.0605939;38;741.722;184.656;0;20;1;1;-1.60421;-0.893994;-1.94191;-1.59199;-0.894338;-1.94205;1;-0.160932;0.173671;0.89203;1;-5.17612;-2.31593;-6.52848;0.00704879;fp_not_a_fp;-1;0.242496;
