ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; throttleP; throttleI; throttleD; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
950;953;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;844;318;14.8093;844;318.495;0;1;1;-1.41817;-0.976459;-1.07741;-1.41817;-0.976459;-1.07741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
951;954;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;842.25;317.75;14.5677;843.841;318.921;0;2;1;-1.43569;-0.991921;-1.09573;-1.42342;-0.981098;-1.08291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
952;955;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;838.571;318;14.5;842.994;319.268;0;3;1;-1.42973;-0.997286;-1.10039;-1.42532;-0.985954;-1.08815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
953;956;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;837;318.4;14.4892;841.746;319.582;0;4;1;-1.42539;-0.999198;-1.10048;-1.42534;-0.989927;-1.09185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
954;957;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;832.25;319.75;14.513;839.487;320.115;0;5;1;-1.40672;-1.0015;-1.09623;-1.41975;-0.993399;-1.09317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
955;958;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;831.333;319.778;14.3503;837.39;320.523;0;6;1;-1.41948;-1.01294;-1.1086;-1.41967;-0.99926;-1.0978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
956;959;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;827.333;320.222;14.4482;834.686;320.937;0;7;1;-1.39604;-1.00738;-1.10028;-1.41258;-1.00169;-1.09854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
957;960;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;825;321;14.421;831.991;321.447;0;8;1;-1.3906;-1.01156;-1.10094;-1.40599;-1.00465;-1.09926;0.103071;-0.245194;-0.191834;0.41153;-0.978982;-0.765932;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
958;961;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;821;321;14.2354;828.861;321.816;0;9;1;-1.39471;-1.02475;-1.11529;-1.40261;-1.01068;-1.10407;0.152521;-0.245852;-0.178646;0.855888;-1.569;-1.17284;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
959;962;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;817;322;14.4083;825.408;322.359;0;10;1;-1.36413;-1.01539;-1.10008;-1.39106;-1.0121;-1.10287;0.228367;-0.236027;-0.151182;1.42533;-1.88378;-1.30733;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
