ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; velx_sp; vely_sp; velz_sp;;; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect
3250;3253;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;54;6.47618;196;54;0;1;1;0.74995;-0.100942;-3.47339;0.74995;-0.100942;-3.47339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.74995;-0.100942;-3.47339;0.74995;-0.100942;-3.47339
3251;3254;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;55;6.30187;196;54.0909;0;2;1;0.79836;-0.124172;-3.56649;0.76447;-0.107911;-3.50132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.79836;-0.124172;-3.56649;0.76447;-0.107911;-3.50132
3252;3255;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;55;6.30187;196;54.0909;0;3;1;0.79836;-0.124172;-3.56649;0.76447;-0.107911;-3.50132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.79836;-0.124172;-3.56649;0.76447;-0.107911;-3.50132
3253;3256;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;55;6.30187;196;54.0909;0;4;1;0.79836;-0.124172;-3.56649;0.76447;-0.107911;-3.50132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.79836;-0.124172;-3.56649;0.76447;-0.107911;-3.50132
3254;3257;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;57;6.74095;196;54.9178;0;5;1;0.68122;-0.095872;-3.32277;0.7395;-0.104299;-3.44776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.68122;-0.095872;-3.32277;0.7395;-0.104299;-3.44776
3255;3258;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;57;6.74095;196;54.9213;0;6;1;0.68122;-0.095872;-3.32277;0.7395;-0.104299;-3.44776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.68122;-0.095872;-3.32277;0.7395;-0.104299;-3.44776
3256;3259;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;58;6.5145;196;55.9485;0;7;1;0.73966;-0.122976;-3.43579;0.73955;-0.109902;-3.44417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.73966;-0.122976;-3.43579;0.73955;-0.109902;-3.44417
3257;3260;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;59;6.33313;196;56.8959;0;8;1;0.78948;-0.147394;-3.53128;0.75453;-0.12115;-3.4703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.78948;-0.147394;-3.53128;0.75453;-0.12115;-3.4703
3258;3261;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;60;6.41245;196;57.8316;0;9;1;0.76734;-0.145879;-3.48269;0.75837;-0.128568;-3.47402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.76734;-0.145879;-3.48269;0.75837;-0.128568;-3.47402
3259;3262;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;60;6.40875;196;58.491;0;10;1;0.76837;-0.146252;-3.48473;0.76137;-0.133874;-3.47723;0.0759772;-0.219146;-0.0255217;0.291189;-1.3847;0.261857;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.76837;-0.146252;-3.48473;0.76137;-0.133874;-3.47723
3260;3263;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;61;6.41724;196.289;59.2541;0;11;1;0.75825;-0.151887;-3.47577;0.76043;-0.139277;-3.47679;0.0348341;-0.21498;0.0499838;-2.04754;-0.292035;4.74253;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.75825;-0.151887;-3.47577;0.76043;-0.139277;-3.47679
3261;3264;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;61;6.27925;196.499;59.8091;0;12;1;0.79689;-0.166212;-3.55325;0.77137;-0.147358;-3.49973;0.129983;-0.276351;-0.147876;0.922748;-1.36776;-1.32026;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.79689;-0.166212;-3.55325;0.77137;-0.147358;-3.49973
3262;3265;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;62;6.48458;196.652;60.5042;0;13;1;0.73999;-0.151538;-3.43491;0.76196;-0.148612;-3.48028;0.167525;-0.320461;-0.233024;1.21715;-1.43061;-2.15273;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.73999;-0.151538;-3.43491;0.76196;-0.148612;-3.48028
3263;3266;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196.571;62;6.79253;196.64;61.0131;0;14;1;0.66425;-0.122;-3.27692;0.73265;-0.140628;-3.41928;0.0130998;-0.270097;0.0640359;-2.80198;0.753836;5.21742;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.66425;-0.122;-3.27692;0.73265;-0.140628;-3.41928
3264;3267;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;63;6.50536;196.756;61.6786;0;15;1;0.73443;-0.155859;-3.41956;0.73318;-0.145198;-3.41936;-0.0927757;-0.228494;0.256781;-2.97186;1.31445;5.04543;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.73443;-0.155859;-3.41956;0.73318;-0.145198;-3.41936
3265;3268;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;64;6.51423;197.137;62.4605;0;16;1;0.72441;-0.161359;-3.41061;0.73055;-0.150046;-3.41674;-0.17879;-0.201707;0.395752;-2.80095;0.858343;4.71032;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.72441;-0.161359;-3.41061;0.73055;-0.150046;-3.41674
3266;3269;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;64;6.51423;197.16;62.5744;0;17;1;0.72441;-0.161359;-3.41061;0.73055;-0.150046;-3.41674;-0.17879;-0.201707;0.395752;-2.80095;0.858343;4.71032;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.72441;-0.161359;-3.41061;0.73055;-0.150046;-3.41674
3267;3270;2019/10/09 14:40:23;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;66;6.51379;197.483;63.9144;0;18;1;0.72453;-0.174189;-3.4024;0.72874;-0.157289;-3.41244;-0.215785;-0.182698;0.457815;-2.53873;0.625544;4.22266;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; ;;0.72453;-0.174189;-3.4024;0.72874;-0.157289;-3.41244
