ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; velx_sp; vely_sp; velz_sp;
300;303;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;471;227;8.50511;471;227;0;1;1;-0.280939;-1.30978;-2.12048;-0.280939;-1.30978;-2.12048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;224;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
301;304;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;469;229;8.68713;470.818;227.182;0;2;1;-0.263564;-1.29191;-2.0697;-0.275727;-1.30442;-2.10525;0;0;0;0;0;0;0;0;0;0;-0.263564;-1.39191;-2.0697;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
302;305;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467;230;8.51714;470.204;227.635;0;3;1;-0.257107;-1.32257;-2.10777;-0.270141;-1.30986;-2.106;0;0;0;0;0;0;0;0;0;0;-0.257107;-1.42257;-2.10777;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
303;306;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467;232;8.56991;469.537;228.543;0;4;1;-0.255524;-1.32413;-2.08835;-0.265756;-1.31414;-2.10071;0;0;0;0;0;0;0;0;0;0;-0.255524;-1.42413;-2.08835;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
304;307;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464;234;8.62334;468.22;229.842;0;5;1;-0.236581;-1.32557;-2.06901;-0.257004;-1.31757;-2.0912;0;0;0;0;0;0;0;0;0;0;-0.236581;-1.42557;-2.06901;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
305;308;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;463;235;8.507;466.879;231.168;0;6;1;-0.233951;-1.34859;-2.09406;-0.250088;-1.32688;-2.09206;0;0;0;0;0;0;0;0;0;0;-0.233951;-1.44859;-2.09406;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
306;309;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461;238;8.99441;465.297;233.003;0;7;1;-0.210177;-1.28937;-1.97138;-0.238115;-1.31563;-2.05585;0;0;0;0;0;0;0;0;0;0;-0.210177;-1.38937;-1.97138;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
307;310;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;459.6;238.8;8.52446;463.711;234.619;0;8;1;-0.213569;-1.36436;-2.07747;-0.230751;-1.33025;-2.06234;0.448923;-0.2578;0.428277;1.36519;-5.77797;-4.8318;0;0;0;0;-0.213569;-1.36436;-2.07747;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
308;311;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458;241;8.59795;462.079;236.44;0;9;1;-0.202458;-1.36333;-2.05265;-0.222263;-1.34017;-2.05943;0.46051;-0.275685;0.442897;1.32207;-3.26499;-0.949884;0;0;0;0;-0.156987;-1.59089;-2.18445;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
309;312;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456.4;243.2;8.52329;460.415;238.413;0;10;1;-0.194864;-1.38601;-2.06351;-0.214043;-1.35392;-2.06066;0.482773;-0.324226;0.425642;1.67229;-2.23;-0.136803;0;0;0;0;-0.057402;-1.48601;-1.93131;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
