ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; dtrkr_state;imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; trkrs_state;interceptor_state;hunt_vol_check;nav_state;valid; flight_mode;target_pos_x; target_pos_y; target_pos_z; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch;dt; heading; Sheading;
2641;2644;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;350;74;5.39713;350;74;0;1;1;0.685709;-0.016206;-4.1181;0.685709;-0.016206;-4.1181;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2642;2645;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;349;73;5.10939;349.909;73.9091;0;2;1;0.734103;-0.06265;-4.35569;0.700227;-0.03014;-4.18938;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2643;2646;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;347;71;4.98147;349.909;73.9091;1;0;1;0.734103;-0.06265;-4.35569;0.700227;-0.03014;-4.18938;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2644;2647;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;346;69;5.20913;349.022;72.7955;0;1;1;0.748817;-0.012;-4.29452;0.714804;-0.024698;-4.22092;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2645;2648;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;343.6;67.2;5.33964;347.674;71.4031;0;2;1;0.752969;0.025236;-4.19931;0.726253;-0.009718;-4.21444;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2646;2649;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;342;65.4286;5.3996;346.183;69.8332;0;3;1;0.75941;0.048861;-4.16218;0.736201;0.007856;-4.19876;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2647;2650;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;341;63;5.30804;344.77;67.9743;0;4;1;0.781922;0.051943;-4.24722;0.749917;0.021082;-4.2133;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2648;2651;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;339;62;5.41596;343.156;66.2995;0;5;1;0.784789;0.077355;-4.16794;0.760379;0.037964;-4.19969;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2649;2652;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;337.333;60.6667;5.47707;341.489;64.6796;0;6;1;0.791234;0.097002;-4.12848;0.769635;0.055675;-4.17833;0.59385;0.734221;0.0945401;-2.35834;13.4216;37.3306;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2650;2653;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;336;59;5.48949;339.877;63.0095;0;7;1;0.801579;0.111292;-4.12793;0.779218;0.07236;-4.16321;0.613498;0.828058;0.287143;-0.708373;10.7085;27.3161;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
