RS_ID;time;imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; 
7008;116.362229;844;149;19;844;149;0;1;1;-1.10615;-0.351541;-1.07649;-1.10615;-0.351541;-1.07649;0;0;0;0;0;0;
7009;116.378925;830.583;150.833;19;842.78;149.167;0;2;1;-1.07098;-0.355704;-1.07409;-1.0956;-0.35279;-1.07577;0;0;0;0;0;0;
7010;116.395623;815.68;155.04;19;838.424;150.111;0;3;1;-1.0319;-0.365257;-1.06858;-1.07649;-0.35653;-1.07361;0;0;0;0;0;0;
7011;116.41232;800.4;158.4;19;830.511;151.836;0;4;1;-0.991842;-0.372887;-1.06418;-1.0511;-0.361437;-1.07078;0;0;0;0;0;0;
7012;116.429017;786.087;163.13;18.3052;819.934;154.524;0;5;1;-0.990539;-0.39819;-1.09813;-1.03293;-0.372463;-1.07899;0;0;0;0;0;0;
7013;116.445714;771.417;167.167;17.7121;807.473;157.769;0;6;1;-0.982452;-0.421357;-1.12924;-1.01779;-0.387131;-1.09406;0;0;0;0;0;0;
7014;116.462411;758;173;17.2937;794.152;161.861;0;7;1;-0.967575;-0.446106;-1.14816;-1.00272;-0.404824;-1.11029;0;0;0;0;0;0;
7015;116.479108;743.875;178.5;16.6008;780.161;166.476;0;8;1;-0.965572;-0.479019;-1.18783;-0.991577;-0.427082;-1.13355;1.03831;-0.741569;-0.576767;4.05551;-6.65547;-6.18797;
7016;116.495806;732.333;182.5;16.3383;766.469;171.046;0;9;1;-0.945902;-0.497281;-1.20083;-0.977875;-0.448142;-1.15373;1.01673;-0.810721;-0.665964;1.92364;-6.33592;-6.88778;
7017;116.512502;714.909;188.727;15.6516;751.391;176.195;0;10;1;-0.931947;-0.536265;-1.24361;-0.964096;-0.474579;-1.1807;0.957397;-0.938174;-0.838434;-1.09583;-6.37394;-8.1573;
7018;116.5292;702.429;193.857;15.2536;736.689;181.463;0;11;1;-0.915501;-0.564765;-1.26768;-0.949518;-0.501634;-1.20679;0.907472;-1.07865;-1.01334;-1.37832;-5.49455;-6.9782;
7019;116.545896;694.333;195.667;15.1132;723.524;185.868;0;12;1;-0.897325;-0.575178;-1.27647;-0.93386;-0.523698;-1.22769;0.879572;-1.19246;-1.14156;-0.936251;-4.55023;-5.14007;
7020;116.562594;678.308;199.077;14.5897;709.207;190.094;0;13;1;-0.874806;-0.605901;-1.31646;-0.916144;-0.548359;-1.25432;0.873426;-1.28857;-1.26001;-0.676293;-3.64443;-4.23417;
7021;116.579291;662.667;201.778;14.3323;694.137;193.984;0;14;1;-0.836158;-0.624916;-1.33541;-0.892148;-0.571326;-1.27865;0.921046;-1.34906;-1.33534;-0.87398;-4.6122;-5.56924;
7022;116.595988;649.538;203.692;13.9064;679.236;197.394;0;15;1;-0.814743;-0.649997;-1.37289;-0.868927;-0.594927;-1.30692;0.987625;-1.39551;-1.41283;-0.640581;-5.10221;-6.32356;
7023;116.612685;639.333;202.417;13.8056;665.32;199.509;0;16;1;-0.783868;-0.650755;-1.38521;-0.843409;-0.611676;-1.33041;1.07444;-1.38469;-1.44545;0.0829832;-4.84415;-6.21778;
7024;116.629383;628;204;13.733;651.794;201.513;0;17;1;-0.746902;-0.659168;-1.38966;-0.814457;-0.625923;-1.34818;1.18392;-1.32707;-1.43181;1.15359;-3.89835;-5.40151;
7025;116.646079;615;205;13.4938;638.058;203.261;0;18;1;-0.712151;-0.67405;-1.41245;-0.783765;-0.640361;-1.36746;1.30964;-1.26204;-1.41714;2.40929;-2.61685;-4.3412;
7026;116.662777;602.706;204.941;13.4864;624.379;204.501;0;19;1;-0.667132;-0.674232;-1.41333;-0.748775;-0.650522;-1.38122;1.45404;-1.16513;-1.35695;3.76378;-1.07727;-2.99176;
7027;116.679473;593.667;204.167;13.4358;611.729;205.151;0;20;1;-0.636132;-0.674284;-1.42009;-0.714982;-0.657651;-1.39288;1.57979;-1.04375;-1.27027;4.88846;0.572658;-1.53526;
7028;116.696171;580;204.111;13.4954;598.436;205.582;0;21;1;-0.582879;-0.67113;-1.41392;-0.675351;-0.661695;-1.39919;1.72077;-0.892834;-1.13058;5.86029;2.35063;0.205772;
7029;116.712868;568.4;206.133;13.0313;585.306;206.488;0;22;1;-0.559295;-0.701726;-1.46041;-0.640534;-0.673704;-1.41756;1.84248;-0.783363;-1.02633;6.58271;3.81132;1.79691;
7030;116.729565;559.263;204.526;13.0586;573.055;206.63;0;23;1;-0.523273;-0.694951;-1.46043;-0.605356;-0.680078;-1.43042;1.94037;-0.686242;-0.944145;6.96987;4.84541;3.02525;
7031;116.746262;547;205.6;12.9609;560.497;207.035;0;24;1;-0.480084;-0.703761;-1.46937;-0.567774;-0.687183;-1.4421;2.02661;-0.598692;-0.864513;7.04457;5.55582;4.02161;
