RS_ID;time;imLx_replay;imLy_replay;disparity_replay;imLx_pred_replay;imLy_pred_replay;n_frames_lost_replay;n_frames_tracking_replay;foundL_replay;posX_replay;posY_replay;posZ_replay;sposX_replay;sposY_replay;sposZ_replay;svelX_replay;svelY_replay;svelZ_replay;saccX_replay;saccY_replay;saccZ_replay
333;4.615943;977.671;49.7377;9.24387;977.671;49.7377;0;0;1;-3.009;-0.8;-1.8;-3.009;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
339;4.6826550000000005;975.6360000000001;49.7377;9.24387;975.6360000000001;49.7377;0;0;1;-2.998;-0.8;-1.8;-2.998;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
340;4.693881;973.6;49.7377;9.24387;959.9110000000001;41.6766;0;0;1;-2.987;-0.8;-1.8;-2.987;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
341;4.70517;969.529;49.7377;9.24387;958.041;42.9723;1;0;1;-2.965;-0.8;-1.8;-2.965;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
342;4.716114;967.4939999999999;49.7377;9.24387;939.3639999999999;33.786;0;0;1;-2.9539999999999997;-0.8;-1.8;-2.9539999999999997;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
343;4.727606;963.422;49.7377;9.24387;933.0089999999999;31.9501;0;0;1;-2.932;-0.8;-1.8;-2.932;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
344;4.738397;961.387;49.7377;9.24387;934.664;34.7753;0;0;1;-2.9210000000000003;-0.8;-1.8;-2.9210000000000003;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
345;4.749528;957.316;49.7377;9.24387;927.932;34.1815;0;0;1;-2.8989999999999996;-0.8;-1.8;-2.8989999999999996;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
346;4.760658;955.28;49.7377;9.24387;927.5939999999999;35.1565;0;0;1;-2.888;-0.8;-1.8;-2.888;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
347;4.772392;951.209;49.7377;9.24387;923.423;36.5648;0;0;1;-2.866;-0.8;-1.8;-2.866;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
348;4.782979;949.174;49.7377;9.24387;916.821;35.4826;0;0;1;-2.855;-0.8;-1.8;-2.855;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
349;4.794029;945.1030000000001;49.7377;9.24387;916.6060000000001;38.5373;0;0;1;-2.833;-0.8;-1.8;-2.833;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
350;4.80518;943.067;49.7377;9.24387;912.585;38.7332;0;0;1;-2.822;-0.8;-1.8;-2.822;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
351;4.816527;941.0319999999999;49.7377;9.24387;913.951;40.5734;0;0;1;-2.8110000000000004;-0.8;-1.8;-2.8110000000000004;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
352;4.827476;936.961;49.7377;9.24387;907.686;41.7807;0;0;1;-2.7889999999999997;-0.8;-1.8;-2.7889999999999997;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
353;4.838727;934.925;49.7377;9.24387;903.028;42.7347;0;0;1;-2.778;-0.8;-1.8;-2.778;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
354;4.849705;930.8539999999999;49.7377;9.24387;905.3589999999999;44.5048;0;0;1;-2.7560000000000002;-0.8;-1.8;-2.7560000000000002;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
355;4.860914;928.818;49.7377;9.24387;900.0169999999999;45.3902;0;0;1;-2.745;-0.8;-1.8;-2.745;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
356;4.871965;924.747;49.7377;9.24387;893.297;46.5588;0;0;1;-2.7230000000000003;-0.8;-1.8;-2.7230000000000003;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
357;4.883083999999999;922.712;49.7377;9.24387;898.872;47.2418;0;0;1;-2.7119999999999997;-0.8;-1.8;-2.7119999999999997;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
358;4.894183;918.6410000000001;49.7377;9.24387;893.096;48.1379;0;0;1;-2.69;-0.8;-1.8;-2.69;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
359;4.906394000000001;916.605;49.7377;9.24387;889.51;48.824;0;0;1;-2.679;-0.8;-1.8;-2.679;-0.8;-1.8;0.011000000000000001;0;0;0;0;0
