rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
277469;3087.517970;224;286;71.4227;4;0;19;-1;-1;0;1;1;1;0.272246;-0.373908;-0.440367;0.272246;-0.373908;-0.440367;0;0;0;0;0;0;0;0;0.00266233;fp_not_a_fp;-1;0.205669;
277470;3087.529097;228;284;71.3667;4.47214;0.0899436;13;224;286;0;2;1;1;0.26715;-0.371958;-0.442221;0.269698;-0.372933;-0.441294;1;-0.0584093;0.0223455;-0.0212571;0;0;0;0;0.00297891;fp_not_a_fp;-1;0.205579;
277471;3087.540225;232;282;71.4549;4.47214;0.0899436;24;228.509;283.745;0;3;1;1;0.261518;-0.369259;-0.443182;0.266971;-0.371708;-0.441924;1;-0.139659;0.0596715;-0.0383419;0;-7.30121;3.35418;-1.53527;0.00297523;fp_not_a_fp;-1;0.205644;
277472;3087.551353;236;280;70.9174;2.82843;0.107699;25;233.165;281.418;0;4;1;1;0.258157;-0.369801;-0.44806;0.264768;-0.371231;-0.443458;1;-0.193945;0.0612752;-0.0964229;0;-6.08996;1.74915;-3.37749;0.00189595;fp_not_a_fp;-1;0.205622;
277473;3087.562480;240;280;70.5371;2.82843;0.108799;25;237.782;279.109;0;5;1;1;0.254157;-0.371762;-0.450497;0.260246;-0.370695;-0.44599;1;-0.237492;0.0316452;-0.136063;0;-5.36448;0.278488;-3.43915;0.00190619;fp_not_a_fp;-1;0.205613;
277474;3087.573608;244;278;70.8454;2.82843;0.105441;20;242.303;279.099;0;6;1;1;0.247703;-0.367884;-0.450056;0.255384;-0.369676;-0.447949;1;-0.299174;0.0598033;-0.130041;0;-5.40908;0.841453;-2.44407;0.00189789;fp_not_a_fp;-1;0.205567;
277475;3087.584735;248;276;70.7557;2.82843;0.100801;10;246.745;276.952;0;7;1;1;0.242662;-0.366088;-0.452148;0.25067;-0.368884;-0.45019;1;-0.344293;0.0843998;-0.134948;1;-4.5975;0.555538;-2.17051;0.0019003;fp_not_a_fp;-1;0.205632;
277476;3087.595862;252;274;70.5785;2.82843;0.0950229;9;251.316;274.694;0;8;1;1;0.237903;-0.36474;-0.454809;0.245606;-0.367618;-0.451878;1;-0.37358;0.0992612;-0.150263;1;-4.03582;0.853405;-1.20967;0.00190507;fp_not_a_fp;-1;0.205554;
277477;3087.606990;256;274;70.4528;2;0.110856;16;255.516;272.543;0;9;1;1;0.232929;-0.365358;-0.455642;0.240299;-0.366017;-0.453164;1;-0.395038;0.0856588;-0.146976;1;-3.53953;1.21353;-0.245196;0.00134949;fp_not_a_fp;-1;0.205611;
277478;3087.618118;260;272;70.4707;2;0.103089;18;259.655;272.666;0;10;1;1;0.227493;-0.362993;-0.457054;0.235247;-0.364795;-0.454914;1;-0.41583;0.0962121;-0.143059;1;-2.62094;0.818049;-0.292477;0.00134915;fp_not_a_fp;-1;0.205622;
277479;3087.629245;262;270;70.3876;2.82843;0.104003;28;263.756;270.634;0;11;1;1;0.22508;-0.361164;-0.459113;0.230851;-0.363564;-0.456655;1;-0.399045;0.109271;-0.146785;1;-1.2301;0.558817;-0.265946;0.00191025;fp_not_a_fp;-1;0.205614;
