ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
557;558;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482.727;7.81818;10.8777;482.727;7.81818;0;1;1;-0.273459;-0.168466;-2.21541;-0.273459;-0.168466;-2.21541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;228;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0;0;0; 
558;559;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;478.222;14.6667;11.0189;482.318;8.44077;0;2;1;-0.249554;-0.192285;-2.17008;-0.266287;-0.175612;-2.20181;0;0;0;0;0;0;0;0.249554;0.442285;1.5;-0.249554;-0.442285;-2.17008;4.74152;9.15354;4.74152;675;650;1097;1088;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.499107;0.574971;2.55; 
559;560;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;474;25;10.7644;480.981;11.1024;0;3;1;-0.235881;-0.236955;-2.19522;-0.257165;-0.194015;-2.19983;0;0;0;0;0;0;0;0.235881;0.486955;1.5;-0.235881;-0.486955;-2.19522;4.48173;10.078;4.48173;675;650;1097;1093;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.471761;0.633041;2.55; 
560;561;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;471.538;34.4615;10.5165;479.015;15.9636;0;4;1;-0.229761;-0.280145;-2.22244;-0.248944;-0.219854;-2.20661;0;0;0;0;0;0;0;0.229761;0.530145;1.5;-0.229761;-0.530145;-2.22244;4.36547;10.9719;4.36547;675;650;1099;1099;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.459523;0.689189;2.55; 
561;562;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;469.867;40.6667;10.7017;476.836;21.8469;0;5;1;-0.217991;-0.299534;-2.16818;-0.239658;-0.243758;-2.19509;0;0;0;0;0;0;0;0.217991;0.549534;1.5;-0.217991;-0.549534;-2.16818;4.14182;11.3731;4.14182;675;650;1098;1092;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.435981;0.714394;2.55; 
562;563;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467.778;47.3333;10.4874;474.506;28.3971;0;6;1;-0.212505;-0.332222;-2.19515;-0.231512;-0.270297;-2.1951;0;0;0;0;0;0;0;0.212505;0.582222;1.5;-0.212505;-0.582222;-2.19515;4.03759;12.0497;4.03759;675;650;1099;1098;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.425009;0.756889;2.55; 
563;564;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;466.222;55.3333;10.5049;472.269;35.6509;0;7;1;-0.204763;-0.363502;-2.17075;-0.223487;-0.298259;-2.1878;0;0;0;0;0;0;0;0.204763;0.613502;1.5;-0.204763;-0.613502;-2.17075;3.89049;12.697;3.89049;675;650;1099;1096;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.409526;0.797552;2.55; 
564;565;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;466;64;10.4926;470.507;43.5359;0;8;1;-0.203946;-0.398452;-2.15078;-0.217625;-0.328316;-2.17669;0.493546;-1.38695;0.265634;1.97045;-5.53732;1.06053;0;0.203946;0.648452;1.5;-0.203946;-0.648452;-2.15078;-0.813715;13.4204;-0.813715;675;650;1101;1095;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.407892;0.842987;2.55; 
565;566;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465;69;10.4445;468.908;50.8348;0;9;1;-0.200107;-0.420294;-2.14762;-0.212369;-0.35591;-2.16797;0.474972;-1.47853;0.286584;3.07857;-9.22531;1.78049;0;0.00627938;0.670294;1.5;-0.00627938;-0.670294;-2.0433;-4.39293;13.8724;-4.39293;675;650;1070;1078;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0125588;0.871382;2.55; 
566;567;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465.75;74.25;10.3644;467.932;57.7366;0;10;1;-0.205264;-0.444715;-2.15042;-0.210238;-0.382551;-2.1627;0.439523;-1.5367;0.347266;3.60199;-11.6707;2.45479;0;0.0159887;0.694715;1.5;-0.0159887;-0.694715;-2.03621;-3.87168;14.3778;-3.87168;675;650;1073;1078;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0319774;0.90313;2.55; 
