ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; velx_sp; vely_sp; velz_sp;
813;817;2019/10/02 16:15:44;0;425.696;325.57;9.27234;411.383;324.731;0;7;1;-0.0138875;-1.63778;-1.65724;0.0580557;-1.70192;-1.72505;-0.921051;0.332745;0.593798;-9.29926;4.5987;7.23931;397;126;7.2849;397;126;0;1;1;0.178885;-0.943059;-2.86143;0.178885;-0.943059;-2.86143;0;0;0;0;0;0;1;0;0;0;0.178885;-1.19306;-2.86143;0;0;0;640.322;650;1024;1024;1024;913;1024;1024;1024;1;3;0;0.016707;0;0;0; 
814;818;2019/10/02 16:15:44;0;433.408;326.282;9.42354;417.485;325.172;0;8;1;-0.0545028;-1.61465;-1.62858;0.0242881;-1.67574;-1.69611;-1.09037;0.566436;0.795695;-11.9999;12.7543;12.6909;395;126;7.4908;396.818;126;0;2;1;0.187292;-0.917138;-2.78278;0.181407;-0.935283;-2.83784;0;0;0;0;0;0;1;0;0;0;0.187292;-1.16714;-2.78278;0;0;0;640.322;650;1024;1024;1024;913;1024;1024;1024;1;3;0;0.0167061;0;0;0; 
815;819;2019/10/02 16:15:44;0;441.667;326.667;9.52402;424.353;325.609;0;9;1;-0.0971954;-1.5993;-1.61029;-0.0121569;-1.6528;-1.67036;-1.31395;0.822186;1.01678;-11.0402;12.3716;11.5047;393;128;7.42364;396.204;126.321;0;3;1;0.202429;-0.936661;-2.80056;0.187714;-0.935696;-2.82666;0;0;0;0;0;0;1;0;0;0;0.202429;-1.18666;-2.80056;0;0;0;640.322;650;1024;1024;1024;913;1024;1024;1024;1;3;0;0.016707;0;0;0; 
816;820;2019/10/02 16:15:44;0;450.426;327.279;9.67315;431.923;326.106;0;10;1;-0.140884;-1.57728;-1.58373;-0.0507751;-1.63015;-1.64437;-1.54331;1.04522;1.2173;-9.25749;10.347;9.61433;390.667;128.667;7.48752;395.052;126.81;0;4;1;0.216253;-0.932379;-2.77422;0.196276;-0.934701;-2.81093;0;0;0;0;0;0;1;0;0;0;0.216253;-1.18238;-2.77422;0;0;0;640.322;650;1024;1024;1024;913;1024;1024;1024;1;3;0;0.0167061;0;0;0; 
817;821;2019/10/02 16:15:44;0;459.194;327.29;10.0029;440.016;326.477;0;11;1;-0.179977;-1.52534;-1.53149;-0.0895355;-1.5987;-1.61051;-1.74568;1.25224;1.41199;-7.13838;8.07674;7.76664;388;130;7.52242;393.373;127.569;0;5;1;0.232939;-0.93544;-2.75649;0.207274;-0.934923;-2.7946;0;0;0;0;0;0;1;0;0;0;0.232939;-1.18544;-2.75649;0;0;0;640.322;650;850;1291;1024;913;1024;1024;1024;1;3;0;0.016707;0;0;0; 
818;822;2019/10/02 16:15:44;0;468.333;327.433;10.1072;448.609;326.791;0;12;1;-0.223242;-1.51018;-1.51529;-0.129647;-1.57214;-1.58194;-1.91945;1.37888;1.53422;-5.49497;4.14962;4.28369;384.8;131.6;7.40317;391.173;128.603;0;6;1;0.25826;-0.959514;-2.79496;0.22257;-0.9423;-2.7947;0;0;0;0;0;0;1;-0.387907;-0.362631;1.21301;0.25826;-1.20951;-2.79496;-25.605;14.4468;-25.605;640.322;662;681;1188;1024;913;1024;1024;1024;1;3;0;0.0167061;-0.775814;-0.47142;1.50171; 
819;823;2019/10/02 16:15:44;0;478.286;327.302;10.3952;457.812;326.983;0;13;1;-0.264831;-1.46781;-1.47366;-0.170202;-1.54084;-1.54946;-2.06251;1.47007;1.62123;-7.85183;7.02815;6.67006;382;133;7.52083;388.706;129.785;0;7;1;0.272797;-0.952259;-2.74612;0.237638;-0.945288;-2.78013;0.586124;-0.0222336;0.811114;-3.86472;50.9783;163.443;1;-0.442999;-0.338585;1.19666;0.272797;-1.20226;-2.74612;-33.579;16.3962;-33.579;640.322;609;680;683;1024;913;1024;1024;1024;1;3;0;0.016707;-0.885999;-0.440161;1.48147; 
820;824;2019/10/02 16:15:44;0;488.062;327.262;10.5117;467.423;327.112;0;14;1;-0.308302;-1.45138;-1.45743;-0.211632;-1.51401;-1.52185;-2.17892;1.52741;1.66811;-9.05485;8.05156;7.48333;379;135;7.49637;386.01;131.23;0;8;1;0.293657;-0.966484;-2.74776;0.254444;-0.951646;-2.77042;0.643123;-0.0786395;0.755714;-0.354838;28.4157;95.4457;1;-0.610846;-0.297522;1.07983;0.399214;-1.21648;-2.60168;-38.4155;18.1589;-38.4155;640.322;579;680;683;1024;913;1024;1024;1024;1;3;0;0.0167058;-1.22169;-0.386779;1.33683; 
821;825;2019/10/02 16:15:44;0;498.369;327.108;10.5472;477.499;327.161;0;15;1;-0.356032;-1.44589;-1.45293;-0.254952;-1.49357;-1.50117;-2.2762;1.55185;1.67601;-9.27268;7.74257;7.12057;377;136;7.47627; -nan; -nan;0;9;1;0.307795;-0.974655;-2.75147;0.270449;-0.958549;-2.76473;0.716026;-0.138378;0.70053;1.13804;16.596;57.3919;1;-0.679298;-0.268916;1.11334;0.424346;-1.22466;-2.61452;-41.3328;19.1399;-41.3328;640.322;573;680;683;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
822;826;2019/10/02 16:15:44;0;508.585;326.923;10.5243;487.896;327.14;0;16;1;-0.40524;-1.4483;-1.45656;-0.300038;-1.47999;-1.48779;-2.36038;1.53029;1.63043;-8.82404;6.58115;5.92091;377;136;7.47627; -nan; -nan;1;0;1;0.307795;-0.974655;-2.75147;0.270449;-0.958549;-2.76473;0.716026;-0.138378;0.70053;1.13804;16.596;57.3919;1;-0.679298;-0.268916;1.11334;-0.356032;-1.44589;-1.45293;-41.3328;19.1399;-41.3328;640.322;573;680;683;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
